gen_scenario,dec_label,w_with_coal,w_con_coal,w_with_ng,w_con_ng,w_with_nuc,w_con_nuc
Normal,D000001,0.0,0.0,0.0,0.0,0.0,0.0
Normal,D000002,10000000.0,0.0,0.0,0.0,0.0,0.0
Normal,D000003,0.0,10000000.0,0.0,0.0,0.0,0.0
Normal,D000004,0.0,0.0,10000000.0,0.0,0.0,0.0
Normal,D000005,0.0,0.0,0.0,10000000.0,0.0,0.0
Normal,D000006,0.0,0.0,0.0,0.0,10000000.0,0.0
Normal,D000007,0.0,0.0,0.0,0.0,0.0,10000000.0
No Nuclear,D000001,0.0,0.0,0.0,0.0,0.0,0.0
No Nuclear,D000002,10000000.0,0.0,0.0,0.0,0.0,0.0
No Nuclear,D000003,0.0,10000000.0,0.0,0.0,0.0,0.0
No Nuclear,D000004,0.0,0.0,10000000.0,0.0,0.0,0.0
No Nuclear,D000005,0.0,0.0,0.0,10000000.0,0.0,0.0
