f_ENS,f_con_peak,f_con_tot,f_disvi_tot,f_emit,f_gen,f_with_peak,f_with_tot,dec_label,gen_scenario
-0.00018143997902985223,4.791509822612849e7,3.293731330784823e8,0.0,141.24270708503684,4.560927381244267e6,1.8728725182213166e8,1.2349438072483957e9,D000000,Normal
-0.0001814399772396125,4.791514729616576e7,3.293735081733097e8,0.0,141.2427067826474,4.56092739055771e6,1.8728659478273523e8,1.23493970240454e9,D000001,Normal
-0.0001814399799249721,2.4983366558208518e7,1.7207629123869747e8,0.0,354.4690579165365,6.394852631235316e6,3.9163424209116536e8,2.5432252272162776e9,D000002,Normal
-0.00018143997902985223,4.791512135035412e7,3.2937318161748815e8,0.0,141.24270778772535,4.560927387274498e6,1.8728723265802917e8,1.2349432807238708e9,D000003,Normal
-0.0001814399799249721,2.4983356419033382e7,1.7207625072742435e8,0.0,354.4690631880981,6.39485267680725e6,3.9163436647416294e8,2.5432256543256054e9,D000004,Normal
-0.00018143997902985223,2.4983367565496422e7,1.7207623133954835e8,0.0,354.46906412841787,6.394852691583751e6,3.9163422815406775e8,2.5432257479133053e9,D000005,Normal
-0.00018143997902985223,2.498336857274803e7,1.7207624347306535e8,0.0,354.4690635053592,6.394852686216371e6,3.916342166758883e8,2.5432255923060455e9,D000006,Normal
-0.00018143997902985223,2.49833689625052e7,1.720762755717349e8,0.0,354.469064205031,6.394852692362043e6,3.916342119582481e8,2.5432252686383963e9,D000007,Normal
-0.00018143997813473237,2.498338338526343e7,1.720764710588414e8,0.0,354.4690639433919,6.394852697678222e6,3.9163404493526745e8,2.5432230871501713e9,D000008,Normal
-0.00018143997813473237,4.791509967745531e7,3.293731585233197e8,0.0,141.24270736972045,4.560927381651904e6,1.872872460642709e8,1.23494352483472e9,D000009,Normal
-0.0001814399772396125,4.79151423239239e7,3.2937340986992013e8,0.0,141.24270746279174,4.560927388104163e6,1.872867313685678e8,1.2349407355679212e9,D000010,Normal
-0.0001814399799249721,2.49833664988821e7,1.7207627960942817e8,0.0,354.4690585680985,6.394852629041408e6,3.9163424399042517e8,2.543225352693123e9,D000011,Normal
-0.00018143997813473237,4.791511224266292e7,3.293732460005497e8,0.0,141.24270810173815,4.560927387943987e6,1.8728726050576875e8,1.234942521075625e9,D000012,Normal
-0.0001814399799249721,2.498335625763082e7,1.7207622599771e8,0.0,354.46906384011385,6.394852674551876e6,3.9163436922141814e8,2.543225922816563e9,D000013,Normal
-0.00018143997902985223,2.4983366282298e7,1.7207624740795577e8,0.0,354.4690648094096,6.3948526894968515e6,3.91634244222505e8,2.5432256420825763e9,D000014,Normal
-0.00018143997902985223,2.498336739431229e7,1.7207622392140466e8,0.0,354.46906418626884,6.3948526839116085e6,3.9163423153145206e8,2.5432258140971375e9,D000015,Normal
-0.00018143997902985223,2.498336740280459e7,1.7207625145570147e8,0.0,354.46906488594067,6.394852690000581e6,3.916342312278438e8,2.5432255439692755e9,D000016,Normal
-0.00018143997813473237,2.4983384006615464e7,1.7207647728273255e8,0.0,354.4690646533007,6.3948526953212805e6,3.9163403895408565e8,2.5432230264817743e9,D000017,Normal
-0.00018143997813473237,4.791510049963394e7,3.2937316581924546e8,0.0,141.24270766318443,4.5609273806204675e6,1.872872422733101e8,1.2349434522959042e9,D000018,Normal
-0.0001814399772396125,4.791513860872991e7,3.293733114087065e8,0.0,141.24270776826378,4.560927386977792e6,1.872870208840548e8,1.2349418184255667e9,D000019,Normal
-0.00018143997902985223,2.498336653053113e7,1.7207628699940968e8,0.0,354.46905826880095,6.394852629467515e6,3.916342441552177e8,2.5432252712891316e9,D000020,Normal
-0.00018143997813473237,4.791510223530866e7,3.293731926630823e8,0.0,141.24270839520236,4.560927386873068e6,1.872872928729613e8,1.2349430874707222e9,D000021,Normal
-0.00018143997813473237,2.4983420907098167e7,1.720765231139243e8,0.0,354.46906321476104,6.394852679589143e6,3.916336127740034e8,2.54322253057428e9,D000022,Normal
-0.00018143997902985223,2.4983366640451934e7,1.720762573609571e8,0.0,354.46906510654475,6.394852688533998e6,3.916342406072409e8,2.543225531216809e9,D000023,Normal
-0.00018143997813473237,2.4983366875126224e7,1.720763030938456e8,0.0,354.4690640669908,6.394852686025011e6,3.916342380734479e8,2.5432250024321413e9,D000024,Normal
-0.00018143997902985223,2.4983367038681246e7,1.7207623609976262e8,0.0,354.4690651830656,6.394852688973991e6,3.916342359746261e8,2.543225713916753e9,D000025,Normal
-0.00018143997813473237,2.4983380531464685e7,1.720764441507633e8,0.0,354.46906496309646,6.394852694171812e6,3.91634079718276e8,2.543223395680426e9,D000026,Normal
-0.00018143997813473237,4.791509992183421e7,3.293731607115297e8,0.0,141.2427074614401,4.560927381329605e6,1.8728724498332793e8,1.234943503187325e9,D000027,Normal
-0.0001814399772396125,4.791514140450332e7,3.2937338839739275e8,0.0,141.24270755826157,4.560927387754144e6,1.872868454186221e8,1.2349409738821347e9,D000028,Normal
-0.0001814399799249721,2.4983366509542566e7,1.720762797265594e8,0.0,354.4690586575257,6.394852628742712e6,3.9163424403388095e8,2.5432253523772216e9,D000029,Normal
-0.00018143997813473237,4.791511012995665e7,3.293732341099781e8,0.0,141.24270819345787,4.560927387612347e6,1.8728726942177257e8,1.2349426476654744e9,D000030,Normal
-0.0001814399799249721,2.4983356176307466e7,1.7207621482451993e8,0.0,354.4690639295575,6.394852674219673e6,3.9163437028386015e8,2.543226042687195e9,D000031,Normal
-0.00018143997902985223,2.498336650806353e7,1.720762542967496e8,0.0,354.4690649028402,6.394852689203376e6,3.916342417756168e8,2.5432255709531536e9,D000032,Normal
-0.00018143997902985223,2.4983367353604145e7,1.7207622264126313e8,0.0,354.4690642796933,6.394852683596198e6,3.916342321696196e8,2.543225828874072e9,D000033,Normal
-0.00018143997902985223,2.4983367426410403e7,1.7207625274179596e8,0.0,354.46906497936516,6.394852689691007e6,3.9163423112142664e8,2.5432255314386916e9,D000034,Normal
-0.00018143997813473237,2.498338316204e7,1.720764692684464e8,0.0,354.4690647507082,6.3948526949667465e6,3.916340488988945e8,2.5432231157036786e9,D000035,Normal
-0.00018143997902985223,4.791510065168278e7,3.2937304538935006e8,0.0,141.2427080407815,4.560927377759225e6,1.8728724152466246e8,1.234944587789806e9,D000036,Normal
-0.0001814399772396125,4.79151377080085e7,3.293733043590901e8,0.0,141.2427078196192,4.560927386790444e6,1.8728702263981518e8,1.234941891697245e9,D000037,Normal
-0.00018143997902985223,2.4983366535693463e7,1.7207628723526162e8,0.0,354.469058318244,6.394852629303094e6,3.9163424418396753e8,2.543225269412934e9,D000038,Normal
-0.00018143997813473237,4.791509921856107e7,3.293731768074597e8,0.0,141.24270844453818,4.560927386688769e6,1.8728729749658957e8,1.2349432554258518e9,D000039,Normal
