,datetime,Plant Name,Fuel Type,Cooling Type,Withdrawal [L/h],Consumption [L/h]
4344,2019-07-01 01:00:00,Plant 1,coal,OC,413420.48620409955,9517.824862040996
4345,2019-07-01 02:00:00,Plant 1,coal,OC,393421.3447235065,9317.833447235063
4346,2019-07-01 03:00:00,Plant 1,coal,OC,397262.76397819445,9356.247639781946
4347,2019-07-01 04:00:00,Plant 1,coal,OC,471018.0136682076,10093.800136682077
4348,2019-07-01 05:00:00,Plant 1,coal,OC,413420.48620409955,9517.824862040996
4349,2019-07-01 06:00:00,Plant 1,coal,OC,393421.3447235065,9317.833447235063
4350,2019-07-01 07:00:00,Plant 1,coal,OC,385960.12655574665,9243.221265557468
4351,2019-07-01 08:00:00,Plant 1,coal,OC,393421.3447235065,9317.833447235063
4352,2019-07-01 09:00:00,Plant 1,coal,OC,401181.0116179766,9395.430116179767
4353,2019-07-01 10:00:00,Plant 1,coal,OC,378780.46379054384,9171.424637905438
4354,2019-07-01 11:00:00,Plant 1,coal,OC,365204.3741981604,9035.663741981605
4355,2019-07-01 12:00:00,Plant 1,coal,OC,417670.3037687255,9560.323037687254
4356,2019-07-01 13:00:00,Plant 1,coal,OC,482236.80917828495,10205.98809178285
4357,2019-07-01 14:00:00,Plant 1,coal,OC,512800.83540766215,10511.628354076622
4358,2019-07-01 15:00:00,Plant 1,coal,OC,500116.7645224704,10384.787645224706
4359,2019-07-01 16:00:00,Plant 1,coal,OC,596099.2113701144,11344.612113701143
4360,2019-07-01 17:00:00,Plant 1,coal,OC,925770.5851580846,14641.325851580845
4361,2019-07-01 18:00:00,Plant 1,coal,OC,1527526.5062229857,20658.88506222986
4362,2019-07-01 19:00:00,Plant 1,coal,OC,2333338.068341039,28717.000683410388
4363,2019-07-01 20:00:00,Plant 1,coal,OC,3962868.1161797633,45012.301161797644
4364,2019-07-01 21:00:00,Plant 1,coal,OC,39579739.161797084,401181.0116179708
4365,2019-07-01 22:00:00,Plant 1,coal,OC,-9888137.290449448,-93497.75290449445
4366,2019-07-01 23:00:00,Plant 1,coal,OC,39579739.161797084,401181.0116179708
4344,2019-07-01 01:00:00,Plant 10,coal,RC,2492265.7485788534,2029524.5988630827
4345,2019-07-01 02:00:00,Plant 10,coal,RC,2482518.8536306014,2021727.082904481
4346,2019-07-01 03:00:00,Plant 10,coal,RC,2484449.041800548,2023271.2334404383
4347,2019-07-01 04:00:00,Plant 10,coal,RC,2516662.2479477525,2049041.7983582024
4348,2019-07-01 05:00:00,Plant 10,coal,RC,2492265.7485788534,2029524.5988630827
4349,2019-07-01 06:00:00,Plant 10,coal,RC,2482518.8536306014,2021727.082904481
4350,2019-07-01 07:00:00,Plant 10,coal,RC,2478686.93900222,2018661.5512017766
4351,2019-07-01 08:00:00,Plant 10,coal,RC,2482518.8536306014,2021727.082904481
4352,2019-07-01 09:00:00,Plant 10,coal,RC,2486388.7790206242,2024823.0232164997
4353,2019-07-01 10:00:00,Plant 10,coal,RC,2474892.6642577145,2015626.1314061715
4354,2019-07-01 11:00:00,Plant 10,coal,RC,2467415.5509092594,2009644.4407274069
4355,2019-07-01 12:00:00,Plant 10,coal,RC,2494244.1455966653,2031107.3164773323
4356,2019-07-01 13:00:00,Plant 10,coal,RC,2520870.239001579,2052408.1912012636
4357,2019-07-01 14:00:00,Plant 10,coal,RC,2531572.73962064,2060970.1916965116
4358,2019-07-01 15:00:00,Plant 10,coal,RC,2527260.217919926,2057520.174335941
4359,2019-07-01 16:00:00,Plant 10,coal,RC,2556060.5487800855,2080560.4390240682
4360,2019-07-01 17:00:00,Plant 10,coal,RC,2614245.488598514,2127108.3908788115
4361,2019-07-01 18:00:00,Plant 10,coal,RC,2659687.0357992663,2163461.6286394126
4362,2019-07-01 19:00:00,Plant 10,coal,RC,2685253.9066770165,2183915.1253416133
4363,2019-07-01 20:00:00,Plant 10,coal,RC,2705890.3428645395,2200424.2742916318
4364,2019-07-01 21:00:00,Plant 10,coal,RC,2733416.409444379,2222445.127555503
4365,2019-07-01 22:00:00,Plant 10,coal,RC,2749202.9809794608,2235074.3847835683
4366,2019-07-01 23:00:00,Plant 10,coal,RC,2733416.409444379,2222445.127555503
4344,2019-07-01 01:00:00,Plant 12,coal,OC,4778587.363156469,110013.31363156468
4345,2019-07-01 02:00:00,Plant 12,coal,OC,4547424.0610409565,107701.68061040954
4346,2019-07-01 03:00:00,Plant 12,coal,OC,4591825.725011656,108145.69725011659
4347,2019-07-01 04:00:00,Plant 12,coal,OC,5444337.673249146,116670.81673249147
4348,2019-07-01 05:00:00,Plant 12,coal,OC,4778587.363156469,110013.31363156468
4349,2019-07-01 06:00:00,Plant 12,coal,OC,4547424.0610409565,107701.68061040954
4350,2019-07-01 07:00:00,Plant 12,coal,OC,4461182.3675593985,106839.26367559397
4351,2019-07-01 08:00:00,Plant 12,coal,OC,4547424.0610409565,107701.68061040954
4352,2019-07-01 09:00:00,Plant 12,coal,OC,4637115.4222617755,108598.59422261774
4353,2019-07-01 10:00:00,Plant 12,coal,OC,4378195.077605447,106009.39077605447
4354,2019-07-01 11:00:00,Plant 12,coal,OC,4221273.656601612,104440.17656601612
4355,2019-07-01 12:00:00,Plant 12,coal,OC,4827709.564856014,110504.53564856012
4356,2019-07-01 13:00:00,Plant 12,coal,OC,5574011.930435873,117967.55930435873
4357,2019-07-01 14:00:00,Plant 12,coal,OC,5927291.156745864,121500.35156745864
4358,2019-07-01 15:00:00,Plant 12,coal,OC,5780680.277827215,120034.24277827216
4359,2019-07-01 16:00:00,Plant 12,coal,OC,6890108.869047426,131128.52869047425
4360,2019-07-01 17:00:00,Plant 12,coal,OC,10700668.6099111,169234.12609911096
4361,2019-07-01 18:00:00,Plant 12,coal,OC,17656161.470237583,238789.05470237584
4362,2019-07-01 19:00:00,Plant 12,coal,OC,26970264.36624574,331930.08366245736
4363,2019-07-01 20:00:00,Plant 12,coal,OC,45805450.22261772,520281.9422261774
4364,2019-07-01 21:00:00,Plant 12,coal,OC,457488798.2261709,4637115.422261708
4365,2019-07-01 22:00:00,Plant 12,coal,OC,-114293629.55654475,-1080708.8555654474
4366,2019-07-01 23:00:00,Plant 12,coal,OC,457488798.2261709,4637115.422261708
4344,2019-07-01 01:00:00,Plant 13,ng,RI,192090.25516646958,153949.40413317567
4345,2019-07-01 02:00:00,Plant 13,ng,RI,191286.87974051756,153306.70379241405
4346,2019-07-01 03:00:00,Plant 13,ng,RI,191445.97304678897,153433.9784374312
4347,2019-07-01 04:00:00,Plant 13,ng,RI,194101.10561435946,155558.08449148756
4348,2019-07-01 05:00:00,Plant 13,ng,RI,192090.25516646958,153949.40413317567
4349,2019-07-01 06:00:00,Plant 13,ng,RI,191286.87974051756,153306.70379241405
4350,2019-07-01 07:00:00,Plant 13,ng,RI,190971.0390483657,153054.03123869255
4351,2019-07-01 08:00:00,Plant 13,ng,RI,191286.87974051756,153306.70379241405
4352,2019-07-01 09:00:00,Plant 13,ng,RI,191605.85342137882,153561.88273710306
4353,2019-07-01 10:00:00,Plant 13,ng,RI,190658.30077579478,152803.8406206358
4354,2019-07-01 11:00:00,Plant 13,ng,RI,190042.00921288173,152310.80737030538
4355,2019-07-01 12:00:00,Plant 13,ng,RI,192253.32202574375,154079.857620595
4356,2019-07-01 13:00:00,Plant 13,ng,RI,194447.94392781402,155835.5551422512
4357,2019-07-01 14:00:00,Plant 13,ng,RI,195330.08393642583,156541.26714914068
4358,2019-07-01 15:00:00,Plant 13,ng,RI,194974.62981727993,156256.90385382395
4359,2019-07-01 16:00:00,Plant 13,ng,RI,197348.46047772936,158155.96838218352
4360,2019-07-01 17:00:00,Plant 13,ng,RI,202144.28017813628,161992.62414250904
4361,2019-07-01 18:00:00,Plant 13,ng,RI,205889.74194130747,164988.993553046
4362,2019-07-01 19:00:00,Plant 13,ng,RI,207997.0587730496,166674.84701843967
4363,2019-07-01 20:00:00,Plant 13,ng,RI,209697.99079297014,168035.5926343761
