obj_name,discharge_violation,day
1,0.0,4
2,0.0,4
21,0.0,4
26,0.0,4
27,0.0,4
28,0.0,4
3,0.0,4
32,0.0,4
33,0.0,4
34,0.0,4
35,0.0,4
36,0.0,4
4,0.0,4
45,0.0,4
46,0.0,4
5,0.0,4
1,0.0,1
2,0.0,1
21,0.0,1
26,0.0,1
27,0.0,1
28,0.0,1
3,0.0,1
32,0.0,1
33,0.0,1
34,0.0,1
35,0.0,1
36,0.0,1
4,0.0,1
45,0.0,1
46,0.0,1
5,0.0,1
1,0.0,5
2,0.0,5
21,0.0,5
26,0.0,5
27,0.0,5
28,0.0,5
3,0.0,5
32,0.0,5
33,0.0,5
34,0.0,5
35,0.0,5
36,0.0,5
4,0.0,5
45,0.0,5
46,0.0,5
5,0.0,5
1,0.0,2
2,0.0,2
21,0.0,2
26,0.0,2
27,0.0,2
28,0.0,2
3,0.0,2
32,0.0,2
33,0.0,2
34,0.0,2
35,0.0,2
36,0.0,2
4,0.0,2
45,0.0,2
46,0.0,2
5,0.0,2
1,0.0,6
2,0.0,6
21,0.0,6
26,0.0,6
27,0.0,6
28,0.0,6
3,0.0,6
32,0.0,6
33,0.0,6
34,0.0,6
35,0.0,6
36,0.0,6
4,0.0,6
45,0.0,6
46,0.0,6
5,0.0,6
1,0.0,3
2,0.0,3
21,0.0,3
26,0.0,3
27,0.0,3
28,0.0,3
3,0.0,3
32,0.0,3
33,0.0,3
34,0.0,3
35,0.0,3
36,0.0,3
4,0.0,3
45,0.0,3
46,0.0,3
5,0.0,3
