MATPOWER Index,MATPOWER Generator Name,MATPOWER Type,MATPOWER Fuel,MATPOWER Capacity (MW),EIA Plant Name,POWERWORLD Plant Name,923 Cooling Type,Ramp Rate (MW/hr),Plant Name
49,RANTOUL 2 1,ST,coal,4.53,Rantoul,RANTOUL 2,OC,163.07999999999998,Plant 1
50,RANTOUL 2 2,ST,coal,4.53,Rantoul,RANTOUL 2,OC,163.07999999999998,Plant 1
51,RANTOUL 2 3,ST,coal,4.53,Rantoul,RANTOUL 2,OC,163.07999999999998,Plant 1
52,RANTOUL 2 4,ST,coal,4.53,Rantoul,RANTOUL 2,OC,163.07999999999998,Plant 1
53,RANTOUL 2 5,ST,coal,9.07,Rantoul,RANTOUL 2,OC,326.52,Plant 1
65,PAXTON 1 1,W2,wind,86.5,"Pioneer Trail Wind Farm, LLC",PAXTON 1,No Cooling System,420.0,Plant 2
67,MOUNT ZION 1,ST,coal,4.7,Archer Daniels Midland Decatur,MOUNT ZION,RI,169.2,Plant 3
68,MOUNT ZION 2,ST,coal,27.92,Archer Daniels Midland Decatur,MOUNT ZION,RI,1005.1199999999999,Plant 3
69,MOUNT ZION 3,ST,coal,27.92,Archer Daniels Midland Decatur,MOUNT ZION,RI,1005.1199999999999,Plant 3
70,MOUNT ZION 4,ST,coal,27.92,Archer Daniels Midland Decatur,MOUNT ZION,RI,1005.1199999999999,Plant 3
71,MOUNT ZION 5,ST,coal,27.92,Archer Daniels Midland Decatur,MOUNT ZION,RI,1005.1199999999999,Plant 3
72,MOUNT ZION 6,ST,coal,27.92,Archer Daniels Midland Decatur,MOUNT ZION,RI,1005.1199999999999,Plant 3
73,MOUNT ZION 7,ST,coal,27.92,Archer Daniels Midland Decatur,MOUNT ZION,RI,1005.1199999999999,Plant 3
76,BRIMFIELD 1,GT,ng,4.0,Archer Daniels Midland Decatur,BRIMFIELD,No Cooling System,48.0,Plant 4
77,BRIMFIELD 2,GT,ng,2.4,Archer Daniels Midland Decatur,BRIMFIELD,No Cooling System,28.799999999999997,Plant 4
78,BRIMFIELD 3,GT,ng,18.0,Archer Daniels Midland Decatur,BRIMFIELD,No Cooling System,216.0,Plant 4
79,BRIMFIELD 4,GT,ng,18.0,Archer Daniels Midland Decatur,BRIMFIELD,No Cooling System,216.0,Plant 4
90,CLINTON 3 1,GT,ng,3.2,Clinton LFGTE,CLINTON 3,No Cooling System,38.400000000000006,Plant 5
91,CLINTON 3 2,GT,ng,5.0,Clinton LFGTE,CLINTON 3,No Cooling System,60.0,Plant 5
92,CLINTON 3 3,GT,ng,6.3,Clinton LFGTE,CLINTON 3,No Cooling System,75.6,Plant 5
94,TUSCOLA 2 1,ST,coal,18.0,Tuscola Station,TUSCOLA 2,OC,647.9999999999999,Plant 6
104,ELLSWORTH 1 2,W2,wind,67.6,High Trail Wind Farm LLC,ELLSWORTH 1,No Cooling System,420.0,Plant 7
105,ELLSWORTH 1 3,W2,wind,154.8,High Trail Wind Farm LLC,ELLSWORTH 1,No Cooling System,420.0,Plant 7
