datetime,water_flow
2015-01-01,298971.4759375
2015-01-02,290408.533125
2015-01-03,308153.85312499997
2015-01-04,356735.20625
2015-01-05,356682.111875
2015-01-06,308401.62687499996
2015-01-07,236809.7615625
2015-01-08,180807.05744680853
2015-01-09,188240.2071875
2015-01-10,191738.5365625
2015-01-11,173046.366875
2015-01-12,173353.134375
2015-01-13,176987.14937499998
2015-01-14,187166.5209375
2015-01-15,180060.72375
2015-01-16,170146.8240625
2015-01-17,189319.7928125
2015-01-18,207649.1509375
2015-01-19,251224.884375
2015-01-20,265318.49125
2015-01-21,342163.75
2015-01-22,382751.45
2015-01-23,367439.6221875
2015-01-24,409121.65625
2015-01-25,426288.83749999997
2015-01-26,339638.8175
2015-01-27,356440.2375
2015-01-28,325816.581875
2015-01-29,366587.16250000003
2015-01-30,329485.993125
2015-01-31,285317.3725
2015-02-01,338060.7346875
2015-02-02,244493.69749999998
2015-02-03,254829.4025
2015-02-04,257690.59937500002
2015-02-05,232789.33750000002
2015-02-06,240378.8834375
2015-02-07,263073.7790625
2015-02-08,296198.76968749997
2015-02-09,294632.485625
2015-02-10,318908.41375
2015-02-11,397234.415625
2015-02-12,420145.9563829787
2015-02-13,378651.384375
2015-02-14,378728.07625000004
2015-02-15,282798.339375
2015-02-16,241201.84624999997
2015-02-17,
2015-02-18,
2015-02-19,
2015-02-20,
2015-02-21,
2015-02-22,
2015-02-23,
2015-02-24,
2015-02-25,
2015-02-26,
2015-02-27,
2015-02-28,
2015-03-01,
2015-03-02,
2015-03-03,
2015-03-04,
2015-03-05,
2015-03-06,
2015-03-07,
2015-03-08,
2015-03-09,246673.5165625
2015-03-10,488674.728125
2015-03-11,872547.0593750001
2015-03-12,1095277.9625
2015-03-13,1085543.99375
2015-03-14,1027671.1249999999
2015-03-15,929476.0281250001
2015-03-16,834437.0968749999
2015-03-17,771903.721875
2015-03-18,680404.415625
2015-03-19,645155.65
2015-03-20,589495.046875
2015-03-21,585601.459375
2015-03-22,545683.4936842105
2015-03-23,506431.846875
2015-03-24,491270.45312499994
2015-03-25,492951.77499999997
2015-03-26,496196.43125
2015-03-27,484869.63125000003
2015-03-28,480061.640625
2015-03-29,423870.09375
2015-03-30,470239.18125
2015-03-31,458587.91562499997
2015-04-01,348599.968125
2015-04-02,377618.99374999997
2015-04-03,398827.246875
2015-04-04,356263.25625
2015-04-05,346204.82187499997
2015-04-06,351664.6934375
2015-04-07,347800.60281250003
2015-04-08,329264.7665625
2015-04-09,308150.9034375
2015-04-10,496697.878125
2015-04-11,568522.7687499999
2015-04-12,552771.4375
2015-04-13,587223.7875
2015-04-14,547550.490625
2015-04-15,523569.53124999994
2015-04-16,478232.83437500003
2015-04-17,450328.790625
2015-04-18,406260.459375
2015-04-19,405110.08125
2015-04-20,404549.640625
2015-04-21,420566.44375000003
2015-04-22,417764.240625
2015-04-23,386674.53437500005
2015-04-24,353782.5690625
2015-04-25,418678.64375
2015-04-26,477583.903125
2015-04-27,551916.028125
2015-04-28,553243.3875
2015-04-29,511475.8125
2015-04-30,471832.0125
2015-05-01,409652.6
2015-05-02,354139.48125
2015-05-03,301313.52781249996
2015-05-04,345644.38125
2015-05-05,389237.8128125
2015-05-06,481508.2294736842
2015-05-07,570263.0843750001
2015-05-08,606632.7312500001
2015-05-09,752819.24375
2015-05-10,844259.55625
2015-05-11,892752.41875
2015-05-12,
2015-05-13,861662.7125
2015-05-14,795294.74375
2015-05-15,742554.33125
2015-05-16,676363.34375
